year,CS-MAJ-M,CS-MAJ-F,CS-MAJ-TOTAL,CS-SPE-M,CS-SPE-F,CS-SPE-TOTAL,CS-MAN-M,CS-MAN-F,CS-MAN-TOTAL,IT-MAJ-M,IT-MAJ-F,IT-MAJ-TOTAL,IT-SPE-M,IT-SPE-F,IT-SPE-TOTAL,year-total
2007,2,1,3,,,,15,11,26,20,9,29,,,,58
2009,2,0,2,,,,5,0,5,30,21,51,,,,58
2010,16,6,22,,,,10,3,13,42,19,61,,,,96
2011,2,0,2,17,4,21,12,4,16,49,23,72,,,,111
2012,3,1,4,29,14,43,12,3,15,32,22,54,,,,116
2013,2,0,2,24,7,31,5,3,8,52,29,81,,,,122
2014,13,0,13,15,2,17,2,2,4,46,19,65,,,,99
2015,6,2,8,39,9,48,8,1,9,32,19,51,,,,116
2016,,,2,,,79,,,10,,,11,,,39,141
2017,,,6,,,75,,,19,,,9,,,45,154
2018,,,35,,,47,,,12,,,29,,,24,147
2019,,,60,,,40,,,32,,,36,,,20,188
2020,,,65,,,51,,,32,,,41,,,14,203
2021,,,77,,,53,,,43,,,25,,,20,218
2022,,,111,,,69,,,32,,,36,,,19,267